ID_VENTE|CD_PRODUIT|QTE_VENTE|PRIX_VENTE|PRIX_ACHAT
CA-2014-AB10015140-41954|TEC-PH-5816|2|66.594|53.2752
IN-2014-JR162107-41675|FUR-CH-5379|9|274.77|219.816
IN-2014-CR127307-41929|TEC-PH-5356|9|255.564|204.4512
ES-2014-KM1637548-41667|TEC-PH-5267|5|546.363|437.0904
SG-2014-RH9495111-41948|TEC-CO-6011|8|230.178|184.1424
IN-2014-JM156557-41818|TEC-PH-5842|5|254.46|203.568
IN-2012-TS2134092-41219|FUR-CH-5378|4|138.132|110.5056
IN-2013-MB1808592-41378|FUR-TA-3764|6|466.208|372.9664
CA-2014-AB10015140-41954|FUR-BO-5957|2|119.686|95.7488
CA-2012-AB10015140-40974|FUR-CH-4421|1|54.801|43.8408
CA-2012-AB10015140-40974|OFF-AR-5309|3|4.784|3.8272
ID-2013-AJ107801-41383|FUR-TA-3420|5|138.7845|111.0276
SA-2012-MM7260110-41269|TEC-PH-3807|4|196.272|157.0176
MX-2013-VF2171518-41591|FUR-CH-4530|7|141.354|113.0832
IN-2014-PF1912027-41796|OFF-AP-4959|12|185.076|148.0608
ES-2015-BP1118545-42216|OFF-AP-3575|4|207.732|166.1856
CA-2012-AB10015140-40958|OFF-ST-3078|2|7.89|6.312
ES-2015-PJ1883564-42255|OFF-AP-4743|14|227.388|181.9104
IN-2015-JS156857-42035|TEC-CO-3597|9|294.5682|235.65456
TZ-2015-RH9555129-42343|OFF-AP-4967|6|170.487|136.3896
PL-2013-AB600103-41494|FUR-TA-4644|4|346.101|276.8808
CA-2012-AB10015140-40974|OFF-ST-3744|3|64.784|51.8272
IN-2012-JK1532527-41030|FUR-CH-5774|6|344.25|275.4
ES-2014-LB16795139-41697|OFF-AP-4960|10|263.685|210.948
US-2015-NP1832582-42216|TEC-PH-5268|4|192.807|154.2456
MX-2015-VD2167039-42252|FUR-TA-4643|8|345.597|276.4776
IN-2012-PB19210127-41259|FUR-TA-5060|2|557.427|445.9416
ES-2012-EB1411048-40981|OFF-AP-4743|6|227.388|181.9104
CA-2012-AH10030140-41020|OFF-FA-6129|8|21.104|16.8832
IN-2013-BP1123058-41329|FUR-CH-5443|4|187.872|150.2976
US-2012-RR1952536-41270|TEC-PH-5841|5|254.496|203.5968
ES-2013-BS1136545-41472|TEC-MA-5503|9|94.266|75.4128
CA-2013-AH10030140-41635|TEC-PH-4389|9|55.68|44.544
IN-2012-DP131057-41215|OFF-AP-3579|5|374.36|299.488
CA-2013-AH10030140-41635|OFF-ST-4291|2|129.24|103.392
CG-2012-AH1003033-41165|TEC-PH-3148|6|190.863|152.6904
CA-2012-AH10030140-41041|FUR-CH-4840|6|58.22|46.576
CA-2012-AH10030140-41273|TEC-AC-6340|3|9.272|7.4176
ES-2015-PO18865139-42018|TEC-CO-3598|13|126.99128|101.593024
IN-2012-DL128657-40918|TEC-PH-5356|5|255.564|204.4512
ID-2014-JB1600059-41873|TEC-PH-5268|6|192.807|154.2456
IN-2015-BF1100558-42319|TEC-PH-5269|7|225.939|180.7512
IN-2015-VG2180558-42273|FUR-BO-5951|13|283.3935|226.7148
ES-2013-GT14710139-41621|TEC-PH-5267|9|546.363|437.0904
IT-2012-ZC2191048-41174|OFF-AP-3874|7|359.36|287.488
CA-2014-AH10030140-41719|FUR-FU-4072|7|9.88|7.904
IT-2014-EB1384045-41706|FUR-CH-5441|5|140.976|112.7808
IN-2015-AP1091527-42244|FUR-CH-5380|6|245.44|196.352
IN-2015-SW2027558-42125|TEC-MA-5007|7|257.7897|206.23176
MX-2015-JH15820141-42356|FUR-CH-4531|11|142.083|113.6664
US-2012-AH10030140-41206|OFF-BI-4372|4|4.632|3.7056
IR-2015-TG1164060-42265|TEC-CO-3678|8|105.08056|84.064448
CA-2012-AH10030140-41273|OFF-LA-3231|3|5.04|4.032
IN-2012-PB19210127-41259|FUR-BO-5762|5|219.75|175.8
MZ-2014-DG330087-41991|TEC-PH-5269|4|225.939|180.7512
IN-2013-SG2047058-41424|TEC-CO-4590|4|152.652|122.1216
CA-2012-AH10030140-41020|OFF-BI-2937|3|1.239|0.9912
IN-2013-GP1474058-41419|FUR-TA-3766|2|872.67|698.136
IN-2015-MW182207-42221|OFF-AP-3577|9|206.988|165.5904
CA-2012-AH10030140-41041|OFF-PA-4014|2|3.2|2.56
IN-2015-CS1246011-42074|FUR-BO-5760|7|131.283|105.0264
CA-2015-AH10030140-42357|OFF-AR-3276|7|3.34|2.672
ES-2015-MS1798048-42227|TEC-PH-5839|7|255.6|204.48
IT-2014-KC1667548-41882|TEC-PH-3130|9|50.067|40.0536
IN-2015-DB1340527-42022|FUR-CH-5774|11|344.25|275.4
CA-2015-AS10045140-42007|TEC-MA-3788|2|347.85|278.28
IT-2015-DK13090120-42345|FUR-BO-5760|5|131.283|105.0264
IN-2015-CS1184558-42354|FUR-TA-3779|4|96.018|76.8144
MX-2015-EM1420082-42328|TEC-PH-5839|4|255.6|204.48
UP-2012-DW3480137-41221|FUR-TA-3771|4|92.934|74.3472
IN-2014-AS1022527-41797|FUR-CH-4530|7|141.354|113.0832
MX-2012-ST2053093-41234|OFF-AP-4497|13|253.746|202.9968
CG-2014-BW106533-41727|FUR-CH-4530|8|141.354|113.0832
IN-2015-LA1678059-42242|FUR-TA-3422|7|600.444|480.3552
ES-2013-AB10150139-41537|TEC-PH-5355|6|382.41|305.928
IN-2015-JH158207-42140|TEC-PH-3147|5|222.705|178.164
CA-2015-AS10045140-42218|TEC-MA-3329|3|639.992|511.9936
ES-2014-BE1141048-41967|TEC-CO-3599|10|79.12968|63.303744
IN-2012-SZ2003527-41221|TEC-CO-6010|9|94.34192|75.473536
IN-2012-RM1937558-41209|FUR-CH-5380|5|245.44|196.352
ES-2015-HG1484545-42327|FUR-CH-4654|14|181.884|145.5072
MO-2015-DP310586-42305|TEC-CO-3710|14|151.464|121.1712
CA-2014-AS10045140-41908|FUR-BO-3176|2|84.294|67.4352
US-2015-AS10045140-42252|OFF-BI-3324|7|12.582|10.0656
ES-2014-JB1600048-41668|TEC-PH-5268|5|192.807|154.2456
ID-2013-AM1070559-41535|OFF-AP-4501|6|199.824|159.8592
MO-2014-AB25586-41966|OFF-AP-4745|4|226.644|181.3152
IN-2013-RP192707-41438|TEC-CO-3611|9|189.405|151.524
IN-2014-BK1126011-41940|FUR-BO-4849|9|331.416|265.1328
IN-2014-JM1525027-41985|TEC-CO-3678|6|105.08056|84.064448
IN-2013-GP1474058-41419|TEC-PH-5356|3|255.564|204.4512
CA-2015-AS10045140-42281|FUR-TA-5066|3|71.37|57.096
ES-2014-NZ1856545-41975|OFF-AP-4508|5|486.432|389.1456
CA-2015-AS10045140-42007|OFF-BI-3308|6|16.03|12.824
ID-2014-SC20695102-41667|FUR-CH-5443|7|187.872|150.2976
IN-2013-NC186257-41401|FUR-TA-3422|2|600.444|480.3552
ES-2014-NF183858-41970|FUR-BO-4849|7|331.416|265.1328
IN-2013-NZ185657-41606|FUR-CH-5774|7|344.25|275.4
IT-2013-PM1894045-41546|TEC-MA-5572|9|79.092|63.2736
ES-2014-MZ1733545-41885|OFF-AP-4503|7|200.352|160.2816
CG-2014-HM498033-41846|TEC-PH-5268|6|192.807|154.2456
IN-2015-RW195407-42327|TEC-PH-3806|6|261.072|208.8576
ES-2013-LH1715545-41444|TEC-PH-5840|4|573.696|458.9568
MX-2013-FH1436582-41558|TEC-PH-5839|6|255.6|204.48
ES-2012-KM1666048-41129|TEC-CO-5999|5|88.155|70.524
ES-2012-PO1886545-41217|TEC-PH-3807|8|196.272|157.0176
US-2012-AS10045140-41116|OFF-PA-6512|11|4.784|3.8272
MX-2014-AB1006028-41755|FUR-BO-3891|9|164.844|131.8752
